"SubjectArea","CourseViewed","ReasonForStudy","LearnerType","StudyHours","PreviousEducation","AgeRange"
"Education","0","1","1","4","4","2"
"Computer Science","0","4","1","3","4","2"
"Humanities","0","3","1","2","4","2"
"Humanities","0","3","1","4","4","2"
"Education","0","4","1","4","4","2"
"Education","0","1","5","2","4","2"
"Education","1","4","5","2","4","2"
"Interdisciplinary and Other","0","1","1","2","4","2"
"Interdisciplinary and Other","0","3","5","3","4","2"
"Education","0","3","1","1","4","2"
"Interdisciplinary and Other","0","1","4","2","4","2"
"Education","0","3","5","1","4","2"
"Humanities","0","3","1","2","4","2"
"Business and Management","0","1","1","3","4","2"
"Social Sciences","1","3","6","2","4","2"
"Business and Management","1","2","2","2","4","2"
"Business and Management","1","3","3","2","4","2"
"Education","1","3","1","3","4","2"
"Education","1","3","2","5","4","2"
"Education","1","3","2","3","4","2"
"Humanities","1","3","2","2","4","2"
"Humanities","1","4","3","1","4","2"
"Professions and Applied Sciences","1","3","2","3","4","2"
"Education","1","3","2","2","4","2"
"Professions and Applied Sciences","1","3","2","3","4","2"
"Education","1","1","5","3","4","2"
"Education","1","3","1","2","4","2"
"Professions and Applied Sciences","0","0","0","4","4","2"
"Education","0","1","1","2","4","2"
"Education","0","4","1","3","4","2"
"Education","0","4","5","3","4","2"
"Education","0","3","1","3","4","2"
"Education","0","3","1","3","4","2"
"Education","0","4","5","3","4","2"
"Education","0","3","1","3","4","2"
"Education","0","3","1","3","4","2"
"Education","0","1","1","2","4","2"
"Education","0","4","3","3","4","2"
"Education","0","3","5","2","4","2"
"Education","1","1","5","2","4","2"
"Professions and Applied Sciences","0","4","2","1","4","2"
"Education","1","3","2","2","4","2"
